cid,title,series,state,score,manuscript_words,book_md_lines,chapter_files,canon_files,has_epub,has_pdf,has_rich_cover,project_status,published,in_curated,root_rel,notes
the-long-silence,The Long Silence,(unwired — not in CURATED),DRAFTED_GATED,70,18626,0,12,12,0,0,0,scaffold,0,0,the-long-silence,STALE project.json status='scaffold' but manuscript/EPUB exists; on disk but not in CURATED
palindrome,Palindrome,Standalones,IN_PROGRESS,51,10205,774,7,4,1,1,0,,0,1,palindrome,
bloedrivier,Brave and Scared,History Like You've Never Heard It,IN_PROGRESS,43,5596,439,5,7,1,0,1,,0,1,bloedrivier,
the-antifragile-reader,The Antifragile Reader,Non-fiction,IN_PROGRESS,23,4014,326,0,2,0,0,1,,0,1,history-before-time/companions/the-antifragile-reader,
the-scramble,The Scramble,(unwired — not in CURATED),IN_PROGRESS,19,2066,0,2,12,0,0,0,scaffold,0,0,the-scramble,on disk but not in CURATED
jakobus-the-long-dark,The Long Dark,History Before Time,IN_PROGRESS,14,0,0,0,2,0,0,1,bible,0,1,history-before-time/books/jakobus-the-long-dark,
anunnaki-mesopotamia,The Princely Offspring,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/anunnaki-mesopotamia,
atacama-paracas,Aimed at the Sea,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/atacama-paracas,
gobekli-tepe,The Belly Hill,Not a Potato,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/gobekli-tepe,
hbt-caves,The Deepest Floor,History Before Time,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/hbt-caves,
hbt-sudwala,The Breathing Dark,History Before Time,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/hbt-sudwala,
house-of-bread,House of Bread,The Unheard,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/house-of-bread,
modern-sherlock-2,The Poisoned Fortune,Faithful Modern,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/modern-sherlock-2,
modern-sherlock-3,The Viral Haunting,Faithful Modern,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/modern-sherlock-3,
modern-sherlock-4,The Woman Who Beat Him,Faithful Modern,SCAFFOLD,10,0,0,0,0,0,0,1,,0,1,_comingsoon/modern-sherlock-4,
