Afzelia quanzensis
Agapanthus africanus
Agapanthus campanulatus
Agapanthus praecox
Agathosma betulina
Agathosma crenulata
Agathosma ovata
Agathosma pulchella
Agathosma serratifolia
Agave americana
Agave sisalana
Agave tequilana
Albizia adianthifolia
Albizia anthelmintica
Albizia versicolor
Alectra sessiliflora
Alepidea amatymbica
Alepidea longifolia
Aloe arborescens
Aloe asperifolia
Aloe chabaudii
Aloe christianii
Aloe cryptopoda
Aloe dichotoma
Aloe ferox
Aloe marlothii
Aloe parvibracteata
Aloe speciosa
Aloe succotrina
Aloe tenuior
Aloe transvaalensis
Aloe vera
Aloe zebrina
Althaea officinalis
Amaranthus caudatus
Amaranthus cruentus
Amaranthus deflexus
Amaranthus hybridus
Amaranthus hypochondriacus
Amaranthus spinosus
Amaranthus thunbergii
Amaranthus tricolor
Anacampseros rhodesica
Anacampseros ustulata
Anacardium occidentale
Ancylobotrys capensis
Ancylobotrys kirkii
Ancylobotrys petersiana
Androstachys johnsonii
Annesorhiza capensis
Annesorhiza macrocarpa
Annesorhiza nuda
Annona chrysophylla
Annona senegalensis
Annona stenophylla
Aponogeton distachyos
Arachis hypogaea
Arctopus echinatus
Areca catechu
Aristida junciformis
Artemisia absinthium
Artemisia afra
Asclepias crispa
Asclepias decipiens
Asclepias fruticosa
Asclepias physocarpa
Asclepias stellifera
Aspalathus linearis
Asparagus aethiopicus
Asparagus africanus
Asparagus capensis
Asparagus exuvialis
Asparagus laricinus
Asparagus officinalis
Asparagus racemosus
Asparagus retrofractus
Asparagus setaceus
Asparagus suaveolens
Aspilia pluriseta
Aster bakeranus
Athrixia elata
Athrixia phylicoides
Bauhinia galpinii
Bauhinia petersiana
Bauhinia thonningii
Bechium knyanum
Bequaertiodendron magalismontanum
Berchemia discolor
Berchemia zeyheri
Bersama lucens
Berula erecta
Bidens bipinnata
Bidens pilosa
Bidens sulphureus
Blepharis capensis
Blepharis procumbens
Boophone disticha
Borassus aethiopum
Boscia albitrunca
Boscia foetida
Bowiea volubilis
Brabejum stellatifolium
Brachylaena discolor
Brachystegia boehmii
Breonadia salicina
Bridelia cathartica
Bridelia micrantha
Bridelia mollis
Bulbine frutescens
Burkea africana
Cadaba aphylla
Caesalpinia rubra
Callilepis laureola
Calodendrum capense
Canavalia ensiformis
Canavalia virosa
Cassia abbreviata
Cassia italica
Cassine crocea
Cassine transvaalensis
Cassipourea gerrardii
Cassipourea malosana
Catha edulis
Catharanthus roseus
Catophractes alexandri
Cedrus deodara
Cedrus libani
Centella asiatica
Centella glabrata
Ceratonia siliqua
Ceratotheca triloba
Ceropegia multiflora subsp. tentaculata
Ceropegia rendallii
Chaetacme aristata
Chamaecrista capensis
Chamarea capensis
Chironia baccifera
Chironia krebsii
Chironia palustris
Chironia tetragona
Chlorophora excelsa
Chondropetalum tectorum
Chrysanthemoides monilifera
Chrysophyllum viridifolium
Cichorium intybus
Cinnamomum camphora
Cissampelos capensis
Cissampelos mucronata
Cissampelos torulosa
Cissus cornifolia
Cissus quadrangularis
Citrullus lanatus
Clausena anisata
Clematopsis scabiosifolia
Cleome gynandra
Cleome monophylla
Clivia miniata
Clivia nobilis
Cnicus benedictus
Coccinia rehmannii
Coccinia sessilifolia
Cocculus hirsutus
Cocos nucifera
Coffea arabica
Coffea canephora
Coffea robusta
Coix lachryma-jobi
Coleonema album
Coleonema juniperinum
Colocasia esculenta
Colophospermum mopane
Colpoon compressum
Combretum apiculatum
Combretum collinum
Combretum erythrophyllum
Combretum hereroense
Combretum imberbe
Combretum molle
Combretum paniculatum
Commelina africana
Commelina benghalensis
Commiphora africana
